央视频道,#genre#
CCTV1,http://14.117.233.245:9000/udp/239.77.0.188:5146
CCTV2,http://112.114.137.121:888/hls/2/index.m3u8
CCTV3,http://114.100.195.107:4022/rtp/238.1.78.170:7232
CCTV4,http://lu1.cc/itv/php/cctv4k.php
CCTV5,http://114.249.19.38:4022/rtp/239.3.1.173:8001
CCTV5+,http://114.249.19.38:4022/rtp/239.3.1.173:8001
CCTV6,http://117.141.149.101:4431/tsfile/live/faacts/0006_1.m3u8
CCTV7,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226192/index.m3u8
CCTV8,http://220.178.185.92:4022/rtp/238.1.78.173:7256
CCTV9,http://121.24.99.52:8090/hls/17/index.m3u8
CCTV10,http://1.195.111.251:11190/tsfile/live/0010_1.m3u8
CCTV11,http://xxw.me0.cn/api/migu.php?id=14
CCTV12,http://xxw.me0.cn/api/migu.php?id=15
CCTV13,http://14.117.233.245:9000/udp/239.77.0.188:5146
CCTV14,http://222.240.82.92:9901/tsfile/live/0014_1.m3u8
CCTV15,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8
CCTV16,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8
CCTV17,http://xxw.me0.cn/api/migu.php?id=19

卫视频道,#genre#
湖南卫视,http://182.122.73.120:8089/hls/30/index.m3u8
浙江卫视,http://111.75.151.236:50085/newlive/live/hls/21/live.m3u8
北京卫视,http://118.79.7.20:6001/rtp/226.0.2.177:9328
重庆卫视,http://125.210.152.19:9123/live/hzgq-cqwsgq-h264.m3u8
陕西卫视,http://218.13.170.98:9901/tsfile/live/0136_1.m3u8
四川卫视,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225768/1.m3u8
湖北卫视,http://219.147.3.106:4455/newlive/live/hls/32/live.m3u8
黑龙江卫视,http://111.75.151.236:50085/newlive/live/hls/32/live.m3u8
辽宁卫视,http://221.220.135.32:9999/rtp/239.3.1.210:8056
吉林卫视,http://majian.ixiaobai.net:58888/rtp/239.37.0.111:5540
安徽卫视,http://219.147.3.106:4455/newlive/live/hls/21/live.m3u8
深圳卫视,http://219.147.3.106:4455/newlive/live/hls/25/live.m3u8
广东卫视,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226216/1.m3u8
广西卫视,http://222.84.98.48:4200/udp/239.81.0.107:4056
东方卫视,http://219.147.3.106:4455/newlive/live/hls/23/live.m3u8
东南卫视,http://219.147.3.106:4455/newlive/live/hls/29/live.m3u8
贵州卫视,http://218.13.170.98:9901/tsfile/live/1014_1.m3u8
河北卫视,http://110.240.239.100:8888/rtp/239.253.92.154:6011
河南卫视,http://219.147.3.106:4455/newlive/live/hls/38/live.m3u8
江苏卫视,http://182.122.73.120:8089/hls/31/index.m3u8
江西卫视,http://xxw.me0.cn/api/migu.php?id=26
山东卫视,http://219.147.3.106:4455/newlive/live/hls/48/live.m3u8
山西卫视,http://80ec27bff7f9ae80b961481da488e302.livehwc3.cn/liveflash.sxrtv.com/live/sxwshd.m3u8?
天津卫视,http://218.13.170.98:9901/tsfile/live/1008_1.m3u8
海南卫视,http://111.75.151.236:50085/newlive/live/hls/42/live.m3u8
三沙卫视,http://61.138.128.226:19901/tsfile/live/1020_1.m3u8
甘肃卫视,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225754/1.m3u8
西藏卫视,http://111.75.151.236:50085/newlive/live/hls/36/live.m3u8
新疆卫视,http://111.75.151.236:50085/newlive/live/hls/49/live.m3u8
云南卫视,http://125.210.152.19:9123/live/hzgq-ynwsgq-h264.m3u8
内蒙古卫视,http://218.13.170.98:9901/tsfile/live/0109_1.m3u8
宁夏卫视,http://218.13.170.98:9901/tsfile/live/0112_1.m3u8
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8
